author,like_count,text
@BenjaminKibbey,0,"So. Spontaneous. I&#39;m thinking. <br><br>I&#39;ve been married. I&#39;ve been in love as many times as I&#39;ve had my heart broken. When I was too old to do dumb things, a moment came when someone had to do something, had to be the person who walked in and stood up for someone.<br><br>I was not strong enough. I was not prepared enough. I did not have the resources. I was not the right person for the job by any stretch. <br><br>But, someone needed to be there, and I could. <br><br>I will carry the scars of the years that followed for the rest of my life. Actual war did not give me PTSD. Trying to keep kids and their mom safe from the family courts, from social workers, and from a vengeful and petty man who&#39;d rather burn people down than not own them, I ended up with what is probably PTSD, at least plenty of anxiety-related symptoms that were not there before. <br><br>And in the end, I wasn&#39;t the right man, but I got to be there and fight the fight worth fighting. <br><br>I would not take back a day. I would not go back and tell the man packing up and leaving his life behind that it was the wrong choice. <br><br>For all the hurt and loneliness that follows, there were such unbelievable moments of brightness and hope. There are three boys who don&#39;t have to wait to find out if he&#39;ll strangle them again or if the deputies will ignore the ligature marks on a child&#39;s neck again. They don&#39;t have to listen to social workers going out of their way to make every excuse and apology on behalf of a man who will never apologize, or a judge tell them to shut up and take it. <br><br>So, yah. Not just the romantic risks or the profitable risks. Take the sacrificial risks. Take the dangerous risks. Go to war. Fight the fights. Be the one who walks out scarred and bruised from standing up in a war that wasn&#39;t ever yours. Because someone needs to be, and because it&#39;s never the wrong choice."
@GilangJanwar,1,I love you mom❤
@noahholland6804,3,"For anyone struggling. I love you. Just because you exist. <br><br>You may be lost, feel alone, and have no idea what to do with yourself.<br><br> I&#39;ve been there, and I&#39;m still alive. People care. Even when you can&#39;t see it yourself. I promise you they do.<br><br>I hope someone hugs you so tight and kisses the top of your head with love."
@brandenjohnson4884,0,If you are lucky enough to find true love and loyalty you found more riches than any Vault of gold
@jitugad,1,"This song makes me realise, how much lonely I'm in life and what all I'm missing in life. <br>All those who have a partner, please respect  the relation and  enjoy with your partner, give them time as far as you can. You never know when it&#39;s the last."
@maxpekich5826,0,This song reminds me so much of thunder road just in the lyrics
@nataliaizakova,0,This made me yearn for love i forbid myself long ago
@hisui5532,0,my roman empire
@gostreyes8614,0,"Damn near stupid, don't let love guide u. Let the truth my kids"
@Solrac_huth,0,". . . . . . . . . . lyrics. . . . . . . . . . . .<br><br>Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out<br>I was not born to drown, baby come on<br><br>Forget what Father Brennan said<br>We were not born in sin<br>Leave a note on your bed<br>Let your mother know you&#39;re safe<br>And by the time she wakes<br>We&#39;ll have driven through the state<br>We&#39;ll have driven through the night, baby come on<br><br>If the sun don&#39;t shine on me today<br>And if the subways flood and bridges break<br>Will you lay yourself down and dig your grave?<br>Or will you rail against your dying day?<br><br>And when we looked outside<br>Couldn&#39;t even see the sky<br>How do you pay the rent?<br>Is it your parents?<br>Or is hard work, dear?<br>Holding the atmosphere<br>I don&#39;t wanna live like that, yeah<br><br>If the sun don&#39;t shine on me today<br>If the subways flood and the bridges break<br><br>Jesus Christ can&#39;t save me tonight<br>Put on your dress, yes, wear something nice<br>Decide on me, yeah, decide on us<br>Oh, oh, oh, Illinois, Illinois<br><br>Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out"
@Sebasnavia14,0,I miss her and I miss her hugs from behind �
@nandaarief8665,0,my dream live
@THEMILITARYGIRL,0,Will come back here with my partner After 10 years (:
@user-cb7tl1cv9v,0,I love this song❤
@AAYAN_X805,0,Is this a movie?
@frxydm_98,0,"It's 2024 now, and as the years go by, this song screams luxury. Everyone is just fed up with technology, soc med. Barely even living. Things like this, I wanna do with my future SO."
@adithsagar8431,0,"17 may 2024<br>Don't think much, just pack your bags and leave with them without fixing a destination.<br>When you see this in the future and you're in a position where you can do this, just do it. <br>11th rn.<br>:)"
@matthewjohnston3224,1,"I'm grateful and in sorrow because of this song. My goal, my dreams and my bucket list are enveloped in this song. Grateful that I can come back to this song now that I've learned. Sorrow because I hadn't learned sooner... but not regretful of the learning. This is still very much my dream. Travel even when it's hard. Connect with other&#39;s when going through hard time&#39;s. It will still be worth it... even if it isn&#39;t by the side of someone I thought I love, but instead learned it was Lust. <br>-young and learning"
@perciol9371,0,What is this video about
@diegokautsar,0,uhhh
@jorisu9424,0,This song is a literal masterpiece.
@okarbomtatu2712,0,May 2024?
@TasanMikaeel,0,ART ART ART ARTTTTT!!!!!
@CloudsGo,0,I want to recreate this someday with someone special ❤️❤️ I know who the person is. It&#39;s just I still couldn&#39;t tell him how much I love him and miss him. <br>Come back soon love.
@Wokiizme99,0,Funny how we&#39;re all listening to this song with somebody in mind.
@yslanaoliveira642,0,Cant believe that only have this amount of view 😱😱😱 i know you guys since this album and its one of the bests.posers this people haha .love you guys.since this album. Wanna see you guys in brazil ❤
@dillobro,0,3 years ago this video&#39;s watched stats was about 210k but bow its just 🔥🚀
@Vert-.,1,I wish I had someone like this 😔
@inuyashasfav2,0,I really hope he didn’t just say Jesus Christ can’t save me tonight. Because I’m a Christian and I really really love this band and I don’t want it to be ruined for me😭😭😭
@nahbruhhh7104,0,This song always makes me cry
@DartheVitae,0,"this song... reminds me of my true love, we never leave this town..."
@TWHowl,2,"The scammer catfishing me: get a withdrawal slippp, take all of ya savings outtt"
@Rabia_Kazi,1,Ananno let’s run away
@HOPE77706,0,What&#39;s the worst that could happen I guess we all get to comfortable
@sonampalmu3221,1,I wanna do this with my significant other ❤❤❤
@GoGo-gy3rc,1,This is proof that I listened to all the songs he recommended😊
@YouMustbeJoking852,0,Jennifer.... where ever you are.  I hope you made it and you found the Sun ❤
@user-ol1qm9ey7g,0,เอาแค่ภาพคลิปวีดีโอมันก็รับไม่ได้แล้วให้มันสูญหายไปเถอะจะทำอย่างนี้
@elliot1464,7,let&#39;s see if i will be financial freedom in 2028. i will back here in 2028 goodluck to me
@think60sec,0,who wants to be rich?...
@nilu_toxic..,8,Who is from 2024
@israanoor6228,2,2024 &lt;3 still listening to this song cause its really reminds me of my dearest best friend &lt;3  now we don&#39;t talk or anything we are so far from each other and i really miss her &lt;3
@southernsky9731,0,<b>Thank you my past hope i can see you again when im about to go if i could just turn back the hands of time.</b>
@thanos7110,3,"<a href=""https://www.youtube.com/watch?v=v4pi1LxuDHc&amp;t=65"">1:05</a> music starts."
@e.clementine8401,1,The girl has been starring in shameless
@stephh.3320,0,Amazing
@wjewkiwkajsmwowkwwisk1954,1,sandy milkovich!?
@jessiejames1990,0,"I remembwr this video ❤ <a href=""https://www.youtube.com/watch?v=v4pi1LxuDHc&amp;t=182"">3:02</a>"
